a, COCA/CET/HS
actual, COCA/CET/HS/TOEFL
actually, COCA/CET
acupuncture, COCA/CET
acute, HS/GRE/COCA/CET/TOEFL
adapt, HS/GRE/COCA/CET/TOEFL
adaptation, COCA/CET/HS/TOEFL
adaptive, COCA/CET
add, COCA/CET/HS
addition, GRE/COCA/CET/HS
additional, COCA/CET/TOEFL
addict, GRE/COCA/CET/TOEFL
addiction, COCA/CET
addictive, COCA/CET
address, HS/GRE/COCA/CET/TOEFL
adequate, HS/GRE/COCA/CET/TOEFL
adequacy, COCA/CET
adequately, COCA/CET
adhere, GRE/COCA/CET/TOEFL
adherence, COCA/CET
adjacent, GRE/COCA/CET/TOEFL
adjective, COCA/CET
adjust, HS/GRE/COCA/CET/TOEFL
adjustment, COCA/CET/HS
administer, COCA/CET/TOEFL
administrate, CET
administration, COCA/CET/HS/TOEFL
administrative, COCA/CET
admire, HS/GRE/COCA/CET/TOEFL
admiration, COCA/CET
admirable, COCA/CET/HS/TOEFL
admit, COCA/CET/HS/TOEFL
admission, HS/GRE/COCA/CET/TOEFL
admittance, CET
admittedly, COCA/CET
adolescent, GRE/COCA/CET/HS
adolescence, COCA/CET/HS/TOEFL
adopt, HS/GRE/COCA/CET/TOEFL
adoption, COCA/CET
adore, HS/GRE/COCA/CET/TOEFL
adorable, COCA/CET
adult, COCA/CET/HS
adulthood, COCA/CET
advance, COCA/CET/HS/TOEFL
advancement, COCA/CET
advanced, COCA/CET/TOEFL
advantage, COCA/CET/HS
advantageous, COCA/CET
advent, GRE/COCA/CET/TOEFL
adventure, COCA/CET/HS/TOEFL
adventurer, COCA/CET
adventurous, COCA/CET
adverb, CET
adversary, COCA/CET
adverse, GRE/COCA/CET/TOEFL
advertise, HS/GRE/COCA/CET/TOEFL
advice, COCA/CET/HS/TOEFL
adversity, COCA/CET/TOEFL
advertisement, COCA/CET/HS
ad, COCA/CET/HS
advertising, COCA/CET
advise, COCA/CET/HS/TOEFL
advisor, COCA/CET
adviser, COCA/CET
advisory, COCA/CET
advisable, GRE/COCA/CET/TOEFL
advocate, HS/GRE/COCA/CET/TOEFL
advocacy, GRE/COCA/CET
aerial, GRE/COCA/CET/TOEFL
aesthetic, GRE/COCA/CET/TOEFL
aesthetics, COCA/CET
affair, COCA/CET/HS
affect, COCA/CET/HS/TOEFL
affection, HS/GRE/COCA/CET/TOEFL
affectionate, COCA/CET/TOEFL
affiliate, GRE/COCA/CET/TOEFL
affiliation, GRE/COCA/CET
affirm, GRE/COCA/CET/TOEFL
affirmation, COCA/CET
affirmative, COCA/CET
affix, GRE/COCA/CET
affixation, CET
affluent, GRE/COCA/CET/TOEFL
affluence, GRE/COCA/CET/TOEFL
afford, COCA/CET/HS/TOEFL
affordable, GRE/COCA/CET
affordability, COCA/CET
afloat, COCA/CET
afraid, COCA/CET/HS
after, COCA/CET/HS
aftermath, GRE/COCA/CET
afternoon, COCA/CET/HS
afterward, COCA/CET/HS
afterwards, COCA/CET/HS
again, COCA/CET/HS
against, COCA/CET/HS
age, COCA/CET/HS/TOEFL
aged, COCA/CET/TOEFL
aging, COCA/CET
ageing, CET
agenda, HS/GRE/COCA/CET/TOEFL
agent, COCA/CET/HS
agency, COCA/CET/HS/TOEFL
aggravate, GRE/COCA/CET/TOEFL
aggravation, CET
aggregate, GRE/COCA/CET/TOEFL
aggressive, HS/GRE/COCA/CET/TOEFL
aggression, GRE/COCA/CET/TOEFL
agitate, GRE/COCA/CET/TOEFL
agitation, COCA/CET
ago, COCA/CET/HS
agony, GRE/COCA/CET
agree, COCA/CET/HS
agreement, COCA/CET/HS
agreeable, GRE/COCA/CET/TOEFL
agriculture, COCA/CET/HS
agricultural, COCA/CET/HS
ahead, COCA/CET/HS
aid, COCA/CET/HS
aide, COCA/CET
aids, CET
ail, GRE/COCA/CET
ailment, GRE/COCA/CET
aim, COCA/CET/HS/TOEFL
air, COCA/CET/HS
airborne, GRE/COCA/CET/TOEFL
air-conditioning, COCA/CET
air-conditioner, CET
aircraft, COCA/CET/HS
airline, COCA/CET/HS
airplane, COCA/CET/HS
aeroplane, CET
airport, COCA/CET/HS
aisle, COCA/CET
akin, COCA/CET
alarm, COCA/CET/HS/TOEFL
album, COCA/CET/HS
alcohol, COCA/CET/HS
alcoholic, COCA/CET/HS
ale, COCA/CET
alert, GRE/COCA/CET/TOEFL
algebra, COCA/CET/HS/TOEFL
alien, COCA/CET/TOEFL
alienate, GRE/COCA/CET/TOEFL
alienation, COCA/CET
align, GRE/COCA/CET
alignment, COCA/CET
alike, COCA/CET/HS
alive, COCA/CET/HS
all, COCA/CET/HS
allege, GRE/COCA/CET/TOEFL
allegation, COCA/CET
alleged, COCA/CET
allegedly, COCA/CET
allergic, GRE/COCA/CET/HS
allergy, GRE/COCA/CET/TOEFL
alleviate, GRE/COCA/CET/TOEFL
alleviation, CET
alley, COCA/CET/HS
allocate, HS/GRE/COCA/CET/TOEFL
allocation, COCA/CET/TOEFL
allot, COCA/CET/TOEFL
allotment, COCA/CET
allow, COCA/CET/HS
allowance, GRE/COCA/CET/HS
alloy, COCA/CET/TOEFL
allude, GRE/COCA/CET/TOEFL
allusion, GRE/COCA/CET/TOEFL
allure, COCA/CET/TOEFL
allurement, CET
ally, COCA/CET/TOEFL
alliance, COCA/CET/TOEFL
almighty, COCA/CET
almost, COCA/CET/HS
aloft, GRE/COCA/CET
alone, COCA/CET/HS/TOEFL
along, COCA/CET/HS
alongside, COCA/CET/HS
aloud, COCA/CET/HS
alphabet, COCA/CET/HS/TOEFL
alphabetic, CET
alphabetical, GRE/CET
already, COCA/CET/HS
also, COCA/CET/HS
alter, GRE/COCA/CET/TOEFL
alteration, COCA/CET
alternate, GRE/COCA/CET/TOEFL
alternation, CET
alternately, COCA/CET
alternative, COCA/CET/HS/TOEFL
although, COCA/CET/HS
altitude, COCA/CET/HS/TOEFL
altogether, COCA/CET/HS
aluminum, COCA/CET/HS/TOEFL
aluminium, GRE/CET
always, COCA/CET/HS
am, CET/HS
amass, GRE/COCA/CET/TOEFL
amateur, HS/GRE/COCA/CET/TOEFL
amaze, COCA/CET/HS
amazing, COCA/CET/HS
amazement, COCA/CET
ambassador, COCA/CET/HS
ambiguous, HS/GRE/COCA/CET/TOEFL
ambiguity, COCA/CET
ambition, COCA/CET/HS
ambitious, COCA/CET/TOEFL
ambulance, COCA/CET/HS
amend, GRE/COCA/CET/TOEFL
amendment, GRE/COCA/CET
amiable, GRE/COCA/CET/TOEFL
amid, COCA/CET/TOEFL
amidst, COCA/CET
ammunition, COCA/CET
among, COCA/CET/HS
amongst, COCA/CET
amount, COCA/CET/HS/TOEFL
ample, HS/GRE/COCA/CET/TOEFL
amplify, GRE/COCA/CET/TOEFL
amplification, COCA/CET
amuse, HS/GRE/COCA/CET/TOEFL
amusing, COCA/CET
amusement, COCA/CET/HS/TOEFL
analogue, CET
analogous, GRE/COCA/CET/TOEFL
analogy, GRE/COCA/CET/TOEFL
analyze, GRE/COCA/CET/TOEFL
analyse, COCA/CET/HS
analysis, COCA/CET/HS/TOEFL
analytic, COCA/CET
analytical, COCA/CET
analyst, COCA/CET
ancestor, HS/GRE/COCA/CET/TOEFL
ancestry, GRE/COCA/CET
anchor, HS/GRE/COCA/CET/TOEFL
anchorage, CET
ancient, COCA/CET/HS/TOEFL
and, COCA/CET/HS
anecdote, HS/GRE/COCA/CET/TOEFL
anecdotal, COCA/CET
anew, COCA/CET
angel, COCA/CET
angle, COCA/CET/HS/TOEFL
angry, COCA/CET/HS
anger, COCA/CET/HS
anguish, GRE/COCA/CET/TOEFL
animal, COCA/CET/HS
animate, GRE/COCA/CET
animated, GRE/COCA/CET/TOEFL
animation, GRE/COCA/CET/TOEFL
ankle, COCA/CET/HS
annex, GRE/COCA/CET/TOEFL
annexation, GRE/COCA/CET
anniversary, COCA/CET/HS
announce, HS/GRE/COCA/CET/TOEFL
announcement, COCA/CET
annoy, HS/GRE/COCA/CET/TOEFL
annoyance, COCA/CET
annual, COCA/CET/HS/TOEFL
anonymous, GRE/COCA/CET/TOEFL
anonymity, GRE/COCA/CET
another, COCA/CET/HS
answer, COCA/CET/HS
ant, COCA/CET/HS
antagonism, GRE/COCA/CET/TOEFL
antagonist, COCA/CET/TOEFL
antagonistic, COCA/CET
antagonistically, CET
antenna, GRE/COCA/CET
antibiotic, GRE/COCA/CET/TOEFL
anticipate, GRE/COCA/CET/TOEFL
anticipation, COCA/CET
antique, HS/GRE/COCA/CET/TOEFL
antonym, CET
anxious, COCA/CET/HS/TOEFL
anxiety, COCA/CET/HS
any, COCA/CET/HS
anybody, COCA/CET/HS
anyone, COCA/CET/HS
anyhow, COCA/CET/HS
anything, COCA/CET/HS
anyway, COCA/CET/HS
anywhere, COCA/CET/HS
apart, COCA/CET/HS
apartment, COCA/CET/HS/TOEFL
apt, GRE/COCA/CET/TOEFL
ape, COCA/CET
apology, COCA/CET/HS
apologize, HS/GRE/COCA/CET/TOEFL
apologise, CET
apologetic, COCA/CET
app, CET
appal, COCA/CET
appall, GRE/CET
appalling, COCA/CET
apparatus, GRE/COCA/CET
apparent, COCA/CET/HS/TOEFL
apparently, COCA/CET
appeal, HS/GRE/COCA/CET/TOEFL
appealing, COCA/CET
appear, COCA/CET/HS/TOEFL
appearance, COCA/CET/HS
appease, GRE/COCA/CET
appeasement, CET
appendix, COCA/CET/HS
appetite, HS/GRE/COCA/CET/TOEFL
applaud, HS/GRE/COCA/CET/TOEFL
applause, GRE/COCA/CET
apple, COCA/CET/HS
appliance, COCA/CET
apply, COCA/CET/HS
application, HS/GRE/COCA/CET/TOEFL
applicant, HS/GRE/COCA/CET/TOEFL
applicable, GRE/COCA/CET/TOEFL
appoint, HS/GRE/COCA/CET/TOEFL
appointment, COCA/CET/HS/TOEFL
appraise, GRE/COCA/CET/TOEFL
appraisal, COCA/CET
appreciate, HS/GRE/COCA/CET/TOEFL
appreciation, COCA/CET/HS
appreciative, COCA/CET
apprentice, GRE/COCA/CET/TOEFL
approach, GRE/COCA/CET/TOEFL
appropriate, HS/GRE/COCA/CET/TOEFL
appropriation, COCA/CET
approve, COCA/CET/HS/TOEFL
approval, COCA/CET/HS
approximate, GRE/COCA/CET/TOEFL
approximately, COCA/CET/HS
approximation, COCA/CET
april, CET
apron, GRE/COCA/CET/HS
aptitude, GRE/COCA/CET/TOEFL
arbitrary, GRE/COCA/CET/HS
arbitrate, GRE/CET
aptly, COCA/CET
arbitrarily, COCA/CET
arbitration, COCA/CET/TOEFL
arc, COCA/CET
arch, GRE/COCA/CET/HS
architect, GRE/COCA/CET/TOEFL
architecture, COCA/CET/HS
archive, GRE/COCA/CET
ardent, GRE/COCA/CET/TOEFL
area, COCA/CET/HS
arena, GRE/COCA/CET
argue, COCA/CET/HS
argument, COCA/CET/HS
argumentation, CET
argumentative, CET
arguable, CET
arise, COCA/CET/HS
aristocrat, COCA/CET/TOEFL
aristocratic, COCA/CET
aristocracy, GRE/COCA/CET
arithmetic, COCA/CET/HS/TOEFL
arm, COCA/CET/HS
armor, COCA/CET/TOEFL
armour, CET
armament, COCA/CET/TOEFL
army, COCA/CET/HS
around, COCA/CET/HS
arouse, GRE/COCA/CET/TOEFL
arousal, COCA/CET
arrange, COCA/CET/HS/TOEFL
arrangement, COCA/CET/HS
array, GRE/COCA/CET/TOEFL
arrest, GRE/COCA/CET/HS
arrive, COCA/CET/HS
arrival, COCA/CET/HS
arrogant, GRE/COCA/CET/TOEFL
arrogance, GRE/COCA/CET/TOEFL
arrow, COCA/CET/HS
art, COCA/CET/HS
artist, COCA/CET/HS
artistic, COCA/CET/TOEFL
artistically, COCA/CET
artery, GRE/COCA/CET
article, COCA/CET/HS/TOEFL
articulate, GRE/COCA/CET/TOEFL
articulation, COCA/CET
artifact, GRE/COCA/CET/TOEFL
artificial, HS/GRE/COCA/CET/TOEFL
artillery, GRE/COCA/CET
as, COCA/CET/HS
ascend, COCA/CET/TOEFL
ascendance, CET
ascertain, COCA/CET/TOEFL
ascribe, GRE/COCA/CET/TOEFL
ash, COCA/CET/HS
ashamed, COCA/CET/HS
ashore, COCA/CET
aside, COCA/CET/HS
ask, COCA/CET/HS
asleep, COCA/CET/HS
aspect, HS/GRE/COCA/CET/TOEFL
aspire, GRE/COCA/CET/TOEFL
aspiration, GRE/COCA/CET/TOEFL
ass, COCA/CET
assassinate, COCA/CET/TOEFL
assassination, COCA/CET
assassin, COCA/CET/TOEFL
assault, GRE/COCA/CET/TOEFL
assemble, GRE/COCA/CET/TOEFL
assembly, COCA/CET/TOEFL
assert, GRE/COCA/CET/TOEFL
assertion, COCA/CET
assertive, GRE/COCA/CET
assess, HS/GRE/COCA/CET/TOEFL
assessment, GRE/COCA/CET/HS
asset, GRE/COCA/CET/TOEFL
assign, COCA/CET/TOEFL
assignment, COCA/CET
assimilate, GRE/COCA/CET/TOEFL
assimilation, COCA/CET
assist, COCA/CET/HS/TOEFL
assistance, COCA/CET/HS
assistant, COCA/CET/HS
associate, HS/GRE/COCA/CET/TOEFL
association, COCA/CET/HS/TOEFL
assorted, GRE/COCA/CET
assortment, COCA/CET
assume, HS/GRE/COCA/CET/TOEFL
assumption, HS/GRE/COCA/CET/TOEFL
assure, GRE/COCA/CET/TOEFL
assurance, COCA/CET
astonish, COCA/CET/HS/TOEFL
astonishment, COCA/CET
astray, GRE/COCA/CET
astronaut, COCA/CET/HS
astronomy, COCA/CET/HS/TOEFL
astronomer, COCA/CET/HS
astronomical, GRE/COCA/CET
asylum, GRE/COCA/CET
at, COCA/CET/HS
athlete, COCA/CET/HS/TOEFL
athletic, COCA/CET/HS
atlas, COCA/CET
atmosphere, COCA/CET/HS/TOEFL
atmospheric, COCA/CET
atom, COCA/CET/HS/TOEFL
atomic, COCA/CET/TOEFL
atop, COCA/CET
atrocity, GRE/COCA/CET
atrocious, GRE/CET
attach, HS/GRE/COCA/CET/TOEFL
attachment, COCA/CET/TOEFL
attack, COCA/CET/HS
attain, HS/GRE/COCA/CET/TOEFL
attainment, GRE/COCA/CET/TOEFL
attempt, COCA/CET/HS/TOEFL
attend, COCA/CET/HS/TOEFL
attendance, COCA/CET/TOEFL
attendant, COCA/CET/TOEFL
attention, COCA/CET/HS
attentive, COCA/CET
attic, GRE/COCA/CET
attitude, COCA/CET/HS
attorney, GRE/COCA/CET/TOEFL
attract, COCA/CET/HS/TOEFL
attraction, COCA/CET/HS
attractive, COCA/CET/HS/TOEFL
attribute, GRE/COCA/CET/TOEFL
attributable, COCA/CET
attributive, CET
auction, GRE/COCA/CET/TOEFL
auctioneer, COCA/CET
audience, HS/GRE/COCA/CET/TOEFL
audio, COCA/CET/TOEFL
audit, GRE/COCA/CET/TOEFL
auditorium, GRE/COCA/CET/TOEFL
auditing, COCA/CET
auditor, COCA/CET/TOEFL
augment, GRE/COCA/CET/TOEFL
august, GRE/CET
aunt, COCA/CET/HS
augmentation, GRE/CET
auntie, CET
authentic, HS/GRE/COCA/CET/TOEFL
author, COCA/CET/HS
authenticity, GRE/COCA/CET
authority, COCA/CET/HS/TOEFL
authorize, COCA/CET/TOEFL
authorise, CET
auto, COCA/CET
automobile, COCA/CET/TOEFL
authoritative, COCA/CET/TOEFL
authorization, GRE/COCA/CET
authorisation, CET
autobiography, GRE/COCA/CET
autobiographic, CET
autobiographical, COCA/CET
automate, COCA/CET
autonomous, GRE/COCA/CET/HS
autumn, COCA/CET/HS
automation, GRE/COCA/CET
autonomy, GRE/COCA/CET/TOEFL
automatic, COCA/CET/HS/TOEFL
automatically, COCA/CET
auxiliary, GRE/COCA/CET
avail, COCA/CET
available, HS/GRE/COCA/CET/TOEFL
availability, COCA/CET
avenge, GRE/COCA/CET
avenue, COCA/CET/HS/TOEFL
average, COCA/CET/HS/TOEFL
avert, GRE/COCA/CET/TOEFL
aversion, GRE/COCA/CET/TOEFL
aviation, COCA/CET/TOEFL
avoid, HS/GRE/COCA/CET/TOEFL
avoidance, COCA/CET
await, COCA/CET
awake, COCA/CET/HS
award, COCA/CET/HS
aware, COCA/CET/HS/TOEFL
awareness, COCA/CET/TOEFL
away, COCA/CET/HS
awe, GRE/COCA/CET/TOEFL
awesome, COCA/CET/HS
awful, COCA/CET/HS/TOEFL
awkward, HS/GRE/COCA/CET/TOEFL
ax, COCA/CET
axe, COCA/CET
axis, GRE/COCA/CET/TOEFL
baby, COCA/CET/HS
babyboom, CET
babyboomer, CET
bachelor, COCA/CET/HS
back, COCA/CET/HS
background, COCA/CET/HS
backup, COCA/CET
backward, COCA/CET/HS/TOEFL
backwards, COCA/CET/HS
backyard, COCA/CET
bacon, COCA/CET/HS
bacteria, GRE/COCA/CET/HS
bad, COCA/CET/HS
badge, GRE/COCA/CET
badly, COCA/CET
badminton, CET/HS
baffle, GRE/COCA/CET
bag, COCA/CET/HS
baggage, COCA/CET/HS/TOEFL
bail, GRE/COCA/CET
bait, GRE/COCA/CET/TOEFL
bake, COCA/CET/TOEFL
bakery, COCA/CET/HS
balance, COCA/CET/HS/TOEFL
balcony, COCA/CET/HS/TOEFL
bald, COCA/CET/TOEFL
ball, COCA/CET/HS
ballet, COCA/CET/HS
balloon, GRE/COCA/CET/HS
ballot, GRE/COCA/CET/TOEFL
bamboo, COCA/CET/HS
ban, HS/GRE/COCA/CET/TOEFL
banana, COCA/CET/HS
band, GRE/COCA/CET
bandage, GRE/COCA/CET/HS
bang, COCA/CET
bank, COCA/CET/HS
banking, COCA/CET
banker, COCA/CET
banknote, CET
bankrupt, GRE/COCA/CET
bankruptcy, COCA/CET/TOEFL
banner, COCA/CET/TOEFL
banquet, GRE/COCA/CET/TOEFL
bar, HS/GRE/COCA/CET/TOEFL
barbecue, HS/GRE/COCA/CET/TOEFL
bbq, CET
barber, COCA/CET/HS
bare, HS/GRE/COCA/CET/TOEFL
barely, COCA/CET/TOEFL
bargain, GRE/COCA/CET/HS
barge, GRE/COCA/CET/TOEFL
bark, HS/GRE/COCA/CET/TOEFL
barn, GRE/COCA/CET/TOEFL
barometer, COCA/CET/TOEFL
barracks, COCA/CET
barrel, COCA/CET/TOEFL
barren, GRE/COCA/CET/TOEFL
barrier, HS/GRE/COCA/CET/TOEFL
base, GRE/COCA/CET/HS
baseball, COCA/CET/HS
basement, COCA/CET/HS
basic, COCA/CET/HS
basically, COCA/CET
basin, COCA/CET/HS/TOEFL
basis, COCA/CET/HS
basket, COCA/CET/HS
basketball, COCA/CET/HS
bass, COCA/CET
bat, COCA/CET/HS
batch, GRE/COCA/CET
bath, COCA/CET/HS
bathe, COCA/CET/HS
bathroom, COCA/CET/HS
battalion, GRE/COCA/CET
batter, COCA/CET/TOEFL
battery, COCA/CET/HS/TOEFL
battle, COCA/CET/HS
bay, COCA/CET/HS
be, COCA/CET/HS
beach, COCA/CET/HS
bead, COCA/CET/TOEFL
beak, COCA/CET/TOEFL
beam, GRE/COCA/CET/TOEFL
bean, COCA/CET/HS
bear, COCA/CET/HS/TOEFL
beard, COCA/CET/HS
bearing, GRE/COCA/CET
beast, COCA/CET/HS
beat, HS/GRE/COCA/CET/TOEFL
beauty, COCA/CET/HS
because, COCA/CET/HS
beautiful, COCA/CET/HS
beautify, CET
beckon, GRE/COCA/CET
become, COCA/CET/HS
bed, COCA/CET/HS
bee, COCA/CET/HS
bedding, COCA/CET
beef, COCA/CET/HS
beer, COCA/CET/HS
beetle, COCA/CET
before, COCA/CET/HS
beforehand, COCA/CET/TOEFL
beg, COCA/CET/HS
beggar, COCA/CET
begin, COCA/CET/HS
beginning, COCA/CET
behalf, COCA/CET/HS
behave, COCA/CET/HS/TOEFL
behavior, COCA/CET/HS/TOEFL
behaviour, COCA/CET/HS
behavioral, COCA/CET
behavioural, CET
behind, COCA/CET/HS
being, COCA/CET/HS
belief, COCA/CET/HS
believe, COCA/CET/HS
bell, COCA/CET/HS
belly, COCA/CET/HS
belong, COCA/CET/HS
belongings, GRE/COCA/CET
beloved, COCA/CET
below, COCA/CET/HS
belt, COCA/CET/HS/TOEFL
bench, GRE/COCA/CET/HS
bend, GRE/COCA/CET/HS
beneath, COCA/CET/HS
benefit, COCA/CET/HS/TOEFL
beneficial, COCA/CET/HS/TOEFL
beneficiary, COCA/CET/TOEFL
benevolent, GRE/COCA/CET/TOEFL
benevolence, COCA/CET
benign, GRE/COCA/CET/TOEFL
berry, COCA/CET
beset, GRE/COCA/CET/TOEFL
beside, COCA/CET/HS
besides, COCA/CET/HS/TOEFL
besiege, GRE/COCA/CET/TOEFL
best, COCA/CET
best-seller, COCA/CET
best-selling, COCA/CET
bet, COCA/CET
betray, HS/GRE/COCA/CET/TOEFL
betrayal, COCA/CET
better, COCA/CET
between, COCA/CET/HS
beverage, GRE/COCA/CET/TOEFL
beware, COCA/CET
bewilder, GRE/TOEFL/CET
bewilderment, COCA/CET
beyond, COCA/CET/HS
bias, COCA/CET/TOEFL
bible, CET
biblical, COCA/CET
bibliography, GRE/COCA/CET
bicycle, COCA/CET/HS
bike, COCA/CET/HS
bid, GRE/COCA/CET/HS
big, COCA/CET/HS
bilateral, COCA/CET
bill, COCA/CET/HS/TOEFL
billion, COCA/CET
billionaire, COCA/CET
bin, GRE/CET
bind, COCA/CET/TOEFL
binoculars, COCA/CET
biochemistry, COCA/CET/HS/TOEFL
biography, COCA/CET/HS/TOEFL
biology, COCA/CET/HS
biotechnology, COCA/CET
bird, COCA/CET/HS
biochemical, COCA/CET
biographical, COCA/CET
biological, COCA/CET
biochemist, CET
biographer, COCA/CET
biologist, COCA/CET
birth, COCA/CET/HS
birthday, COCA/CET/HS
biscuit, COCA/CET/HS
bishop, COCA/CET/HS
bit, GRE/COCA/CET/HS
bitch, COCA/CET
bite, COCA/CET/HS
bitter, COCA/CET/HS
bizarre, GRE/COCA/CET/TOEFL
black, COCA/CET/HS
blackboard, COCA/CET/HS
blackmail, GRE/COCA/CET
blade, GRE/COCA/CET/TOEFL
blame, COCA/CET/HS/TOEFL
blank, COCA/CET/HS
blanket, COCA/CET/HS/TOEFL
blast, GRE/COCA/CET/TOEFL
blaze, COCA/CET
bleach, GRE/COCA/CET/TOEFL
bleak, GRE/COCA/CET/TOEFL
bleed, COCA/CET/HS/TOEFL
blend, COCA/CET/TOEFL
bless, COCA/CET/HS
blind, COCA/CET/HS
blessing, COCA/CET/TOEFL
blink, COCA/CET/TOEFL
bloc, COCA/CET
block, COCA/CET/HS/TOEFL
blog, CET
blond, COCA/CET
blonde, COCA/CET
blood, COCA/CET/HS
bloody, COCA/CET
bloom, COCA/CET/TOEFL
blossom, GRE/COCA/CET/TOEFL
blouse, COCA/CET/HS
blow, COCA/CET/HS
blue, GRE/COCA/CET/HS
blueprint, GRE/COCA/CET
bluff, GRE/COCA/CET
blunder, GRE/COCA/CET/TOEFL
blunt, GRE/COCA/CET/TOEFL
blur, GRE/COCA/CET/TOEFL
blush, GRE/COCA/CET
board, COCA/CET/HS/TOEFL
boast, GRE/COCA/CET/TOEFL
boastful, TOEFL/CET
boat, COCA/CET/HS
body, COCA/CET/HS
bodily, COCA/CET
boil, COCA/CET/HS
boiler, COCA/CET
bold, COCA/CET/TOEFL
bolster, GRE/COCA/CET
bolt, GRE/COCA/CET
bomb, COCA/CET/HS
bond, COCA/CET/HS/TOEFL
bondage, GRE/COCA/CET/TOEFL
bone, COCA/CET/HS
bony, COCA/CET/TOEFL
bonus, COCA/CET/HS/TOEFL
book, COCA/CET/HS
boom, HS/GRE/COCA/CET/TOEFL
boost, GRE/COCA/CET/TOEFL
boot, COCA/CET/HS
booth, COCA/CET/HS
border, COCA/CET/HS
bore, GRE/COCA/CET
boring, HS/GRE/COCA/CET/TOEFL
born, COCA/CET/HS
borrow, COCA/CET/HS
boss, COCA/CET/HS
botany, GRE/TOEFL/CET/HS
botanical, COCA/CET/HS
both, COCA/CET/HS
bother, COCA/CET/HS
bottle, COCA/CET/HS
bottom, COCA/CET/HS
bounce, COCA/CET/HS/TOEFL
bound, COCA/CET/HS/TOEFL
boundary, COCA/CET/HS/TOEFL
bouquet, GRE/COCA/CET
bout, GRE/COCA/CET
bow, COCA/CET/HS/TOEFL
bowel, COCA/CET
bowl, COCA/CET/HS
box, COCA/CET/HS
boxing, COCA/CET/HS
boy, COCA/CET/HS
boycott, GRE/COCA/CET/HS
brace, GRE/COCA/CET/TOEFL
bracket, GRE/COCA/CET
brag, GRE/COCA/CET/TOEFL
brain, COCA/CET/HS/TOEFL
brake, GRE/COCA/CET/HS
branch, COCA/CET/HS
brand, HS/GRE/COCA/CET/TOEFL
brand-new, COCA/CET
brandy, COCA/CET
brass, COCA/CET/TOEFL
brave, COCA/CET/HS
bravery, COCA/CET/HS
breach, GRE/COCA/CET/TOEFL
bread, COCA/CET/HS
break, COCA/CET/HS
